ID,行政區,地址,店名
0062e87d-19f9-47ca-9e90-baf8c9dab54c,文山區,台北市文山區景美夜市-永安皮鞋,景美夜市-永安皮鞋
07152434-ffe4-4d05-a005-d3509a3308e5,文山區,台北市文山區木新市場11號攤位,木新市場11號攤位
074f6859-d0e2-4880-8951-b9f8e10d1b0d,文山區,台北市文山區興隆市場 41號攤,興隆市場 41號攤
0cdff9d0-147a-46c7-b1bb-9be2854c763e,文山區,台北市文山區木新市場 66號攤（66的筍）,木新市場 66號攤（66的筍）
0fb51221-563f-4af7-b5dd-39d425229624,文山區,台北市文山區木新市場 60號攤,木新市場 60號攤
11edb4ef-031b-43a0-b707-6d707d2fa4f6,文山區,台北市文山區景美016攤 蝦蝦蛤哥 鍋燒意麵,景美016攤 蝦蝦蛤哥 鍋燒意麵
12122068-9db6-4911-816c-a390dbebc283,文山區,台北市文山區興隆市場 77號攤,興隆市場 77號攤
12484bff-6058-45d9-b609-c30634f0a4e2,文山區,台北市文山區景美夜市-衣連衣,景美夜市-衣連衣
16658110-c893-44b4-96e0-3c3d3b712062,文山區,台北市文山區景美夜市-ice 日系平價內衣,景美夜市-ice 日系平價內衣
18fd0be3-6f9e-4e33-87dd-cfabc82bdd3f,文山區,台北市文山區景美夜市-九九鞋店,景美夜市-九九鞋店
191b919a-6599-41c3-a659-39d57914a030,文山區,台北市文山區興隆市場 阿文土雞,興隆市場 阿文土雞
1f393ec4-658c-4350-a4d5-6bda553b46c3,文山區,台北市文山區景美夜市-快樂地瓜球,景美夜市-快樂地瓜球
210f7a2c-0cf0-4ab2-a58a-2acb5e2c8be3,文山區,台北市文山區景美夜市-呷乙餅町,景美夜市-呷乙餅町
249536a6-46b4-4929-b1b7-0adc898b7120,文山區,台北市文山區景美夜市-阿誠麵店,景美夜市-阿誠麵店
288c80b3-5f56-4860-9e59-2053c6d03b3b,文山區,台北市文山區景美夜市-黑宝東山鴨頭,景美夜市-黑宝東山鴨頭
29285ae0-c7fd-4e83-aa3e-9ddaa1542ed0,文山區,台北市文山區景美夜市-陳記九龍城香港茶,景美夜市-陳記九龍城香港茶
31df773a-f3ea-4189-8f35-74627ef038a3,文山區,台北市文山區景美夜市-薇希飾品,景美夜市-薇希飾品
3ceeec96-91ec-4e4a-87e1-55308d1d69ef,文山區,台北市文山區景美夜市-蓉蓉百貨,景美夜市-蓉蓉百貨
405c31f0-c86c-4d64-a558-b73a08d5cc45,文山區,台北市文山區興隆市場 Jan-60,興隆市場 Jan-60
422778c8-d540-4c50-991c-864744b0b8f2,文山區,台北市文山區景美夜市-上好烤肉,景美夜市-上好烤肉
4638bcb5-cf92-4bb3-a231-39525ba3d827,文山區,台北市文山區景美012攤 草地水缸,景美012攤 草地水缸
